Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.03     0.00     2048     0.00     0.00  float std::uniform_real_distribution<float>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<float>::param_type const&)
  0.00      0.03     0.00     2048     0.00     0.00  std::array<hyper::Vec2<float>, 1024ul>::operator[](unsigned long)
  0.00      0.03     0.00     2048     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, float>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.03     0.00     2048     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, float>::operator()()
  0.00      0.03     0.00     2048     0.00     0.00  float std::generate_canonical<float, 24ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.03     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.03     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.03     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.03     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      0.03     0.00       96     0.00     0.00  float hyper::max<float>(float&&, float&&)
  0.00      0.03     0.00       12     0.00     0.00  std::_Vector_base<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_M_get_Tp_allocator()
  0.00      0.03     0.00        8     0.00     0.00  std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::size() const
  0.00      0.03     0.00        5     0.00     0.00  void std::_Destroy<unsigned int*, std::pmr::polymorphic_allocator<unsigned int> >(unsigned int*, unsigned int*, std::pmr::polymorphic_allocator<unsigned int>&)
  0.00      0.03     0.00        4     0.00     0.00  std::move_iterator<unsigned int*>::base() const
  0.00      0.03     0.00        4     0.00     0.00  std::_Vector_base<unsigned int, std::pmr::polymorphic_allocator<unsigned int> >::_M_deallocate(unsigned int*, unsigned long)
  0.00      0.03     0.00        4     0.00     0.00  std::move_iterator<unsigned int*>::move_iterator(unsigned int*)
  0.00      0.03     0.00        4     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.00      0.03     0.00        4     0.00     0.00  std::move_iterator<unsigned int*> std::__make_move_if_noexcept_iterator<unsigned int, std::move_iterator<unsigned int*> >(unsigned int*)
  0.00      0.03     0.00        4     0.00     0.00  std::remove_reference<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >&>::type&& std::move<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >&>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >&)
  0.00      0.03     0.00        4     0.00     0.00  std::remove_reference<unsigned int*&>::type&& std::move<unsigned int*&>(unsigned int*&)
  0.00      0.03     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::pmr::polymorphic_allocator<unsigned int> > >::__normal_iterator(unsigned int* const&)
